taxonRank,kingdom,family,scientificName
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser spec. x Anser caerulescens
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anserini x
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya collaris x Aythya ferina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya collaris x Aythya fuligula
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya ferina x Aythya marila
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya ferina x Aythya nyroca
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya ferina x Netta rufina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya fuligula x Aythya ferina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya fuligula x Aythya marila
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya fuligula x Aythya nyroca
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya fuligula x Netta rufina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya nyroca x Aythya fuligula
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aythya nyroca x Netta rufina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta bernicla bernicla x Branta bernicla hrota
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta bernicla bernicla x Branta bernicla nigricans
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta canadensis x Anser cygnoides
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta canadensis x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta canadensis/hutchinsii x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta hutchinsii x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta leucopsis x Anser caerulescens
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta leucopsis x Anser canagica
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta leucopsis x Anser rossii
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta leucopsis x Branta ruficollis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Branta leucopsis x Branta sandvicensis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Cygnus atratus x Cygnus olor
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Cygnus buccinator x Cygnus cygnus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Cygnus cygnus x Cygnus olor
